Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-23-02-12, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-23-02-13, Off, 0.00, 0, 0, 0, 1.008G, 25, 66, Charging, 8.31419e+35, 100, On
2017-04-26-23-02-14, Off, 28.00, 32, 0.004, 480, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-23-02-15, Off, 28.00, 32, 0, 510, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
