Date Time, pm2.5 sensor is On, Temperature, Humidity, Baseline, tVOC, CO2e, CPU Frequency, CPU Usage, Light, Charging, Electricity, Capacity (%), Wi-Fi Status
2017-04-27-11-20-59, Off, 0.00, 0, 0x, 0, 0, 1.008G, 12.5, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-00, Off, 0.00, 0, 0x, 0, 0, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-01, Off, 28.00, 32, 0x, 3.01, 480, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-02, Off, 28.00, 32, 0x, 0.08, 510, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-03, Off, 27.00, 32, 0x, 0.07, 630, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-04, Off, 27.00, 32, 0x, 0.09, 800, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-05, Off, 27.00, 32, 0x, 0.11, 740, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-06, Off, 27.00, 32, 0x, 0.12, 720, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-07, Off, 26.00, 33, 0x, 0.13, 830, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-08, Off, 26.00, 34, 0x, 0.15, 850, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-09, Off, 26.00, 35, 0x, 0.2, 890, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-10, Off, 26.00, 35, 0x, 0.21, 980, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-11, Off, 27.00, 35, 0x, 0.23, 1204, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-12, Off, 27.00, 35, 0x, 0.28, 1474, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-13, Off, 26.00, 35, 0x, 0.27, 1567, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-14, Off, 26.00, 35, 0x, 0.3, 1890, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-15, Off, 26.00, 37, 0x, 0.31, 1940, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-16, Off, 26.00, 37, 0x, 0.32, 2032, 1.008G, 12.5, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-17, Off, 26.00, 37, 0x, 0.33, 2135, 1.008G, 18.8, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-18, Off, 25.00, 37, 0x, 0.38, 2303, 1.008G, 12.5, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-19, Off, 25.00, 37, 0x, 0.41, 2568, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-20, On, 25.00, 37, 0x, 0.41, 2734, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-21, On, 25.00, 37, 0x, 0.42, 2746, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-22, On, 25.00, 38, 0x, 0.4, 2849, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-23, On, 25.00, 38, 0x, 0.35, 3054, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-24, On, 25.00, 38, 0x, 0.29, 3062, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-25, On, 25.00, 38, 0x, 0.28, 3103, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-26, On, 24.00, 38, 0x, 0.28, 3248, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-27, On, 24.00, 39, 0x, 0.18, 3362, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-28, On, 25.00, 39, 0x, 0.17, 3443, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-29, On, 25.00, 39, 0x, 0.15, 3456, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-30, On, 25.00, 40, 0x, 0.14, 3561, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-31, On, 25.00, 40, 0x, 0.13, 3543, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-32, On, 25.00, 40, 0x, 0.12, 3633, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-33, On, 25.00, 41, 0x, 0.12, 3655, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-34, On, 26.00, 42, 0x, 0.11, 3734, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-35, On, 26.00, 43, 0x, 0.1, 3890, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
2017-04-27-11-21-36, On, 26.00, 43, 0x, 0.09, 3976, 1.008G, 0, 66, Charging, 2.88993e+29, 100, Disconnect
