Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-23-04-27, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-28, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-29, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-30, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-31, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-32, Off, 28.00, 32, 0, 510, 1.008G, 12.5, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-33, Off, 27.00, 32, 0, 630, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-34, Off, 27.00, 32, 0, 800, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-35, Off, 27.00, 32, 0, 740, 1.008G, 6.7, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-36, Off, 27.00, 32, 0, 720, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-37, Off, 26.00, 33, 0, 830, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-38, Off, 26.00, 34, 0, 850, 1.008G, 12.5, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-39, Off, 26.00, 35, 0, 890, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-40, Off, 26.00, 35, 0, 980, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-41, Off, 27.00, 35, 0, 1204, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-42, Off, 27.00, 35, 0, 1474, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-43, Off, 26.00, 35, 0, 1567, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-23-04-44, Off, 26.00, 35, 0, 1890, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
