Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-23-03-07, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-08, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-09, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-10, Off, 28.00, 32, 0, 510, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-11, Off, 27.00, 32, 0, 630, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-12, Off, 27.00, 32, 0, 800, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-13, Off, 27.00, 32, 0, 740, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-14, Off, 27.00, 32, 0, 720, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-15, Off, 26.00, 33, 0, 830, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-16, Off, 26.00, 34, 0, 850, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-17, Off, 26.00, 35, 0, 890, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-18, Off, 26.00, 35, 0, 980, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-19, Off, 27.00, 35, 0, 1204, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-20, Off, 27.00, 35, 0, 1474, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-21, Off, 26.00, 35, 0, 1567, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-22, Off, 26.00, 35, 0, 1890, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-23, Off, 26.00, 37, 0, 1940, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-24, Off, 26.00, 37, 0, 2032, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
2017-04-26-23-03-25, Off, 26.00, 37, 0, 2135, 1.008G, 0, 34, Charging, 2.88993e+29, 100, On
