Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-27-10-12-27, Off, 0.00, 0, 0, 0, 1.008G, 6.7, 34, Charging, 2.08807e+08, 100, On
2017-04-27-10-12-28, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 2.08807e+08, 100, On
2017-04-27-10-12-29, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 2.08807e+08, 100, On
2017-04-27-10-12-30, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 2.08807e+08, 100, On
2017-04-27-10-12-31, Off, 0.00, 0, 0, 0, 1.008G, 12.5, 34, Charging, 2.08807e+08, 100, On
