Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-23-32-36, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 1.33521e-08, 100, On
2017-04-26-23-32-37, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 1.33521e-08, 100, On
2017-04-26-23-32-38, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 34, Charging, 1.33521e-08, 100, On
2017-04-26-23-32-39, Off, 28.00, 32, 0, 510, 1.008G, 0, 34, Charging, 1.33521e-08, 100, On
