Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-22-58-28, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-29, Off, 0.00, 0, 0, 0, 1.008G, 12.5, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-30, Off, 28.00, 32, 0.004, 480, 1.008G, 6.2, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-31, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-32, Off, 27.00, 32, 0, 510, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-33, Off, 27.00, 32, 0, 800, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-34, Off, 27.00, 32, 0, 740, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-35, Off, 27.00, 32, 0, 740, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-36, Off, 26.00, 33, 0, 830, 1.008G, 6.7, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-37, Off, 26.00, 34, 0, 850, 1.008G, 6.2, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-38, Off, 26.00, 35, 0, 890, 1.008G, 6.2, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-39, Off, 26.00, 35, 0, 890, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-40, Off, 27.00, 35, 0, 1204, 1.008G, 6.2, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-41, Off, 27.00, 35, 0, 1204, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-42, Off, 26.00, 35, 0, 1567, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-43, Off, 26.00, 35, 0, 1890, 1.008G, 6.2, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-44, Off, 26.00, 37, 0, 1940, 1.008G, 6.2, 34, Charging, 8.31419e+35, 100, On
2017-04-26-22-58-45, Off, 26.00, 37, 0, 1940, 1.008G, 0, 34, Charging, 8.31419e+35, 100, On
