Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-22-52-11, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-12, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-13, Off, 28.00, 32, 0.004, 480, 1.008G, 6.2, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-14, Off, 28.00, 32, 0, 510, 1.008G, 6.2, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-15, Off, 27.00, 32, 0, 630, 1.008G, 6.7, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-16, Off, 27.00, 32, 0, 800, 1.008G, 6.2, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-17, Off, 27.00, 32, 0, 740, 1.008G, 0, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-18, Off, 27.00, 32, 0, 720, 1.008G, 6.7, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-19, Off, 26.00, 33, 0, 830, 1.008G, 6.7, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-20, Off, 26.00, 34, 0, 850, 1.008G, 6.7, 34, Charging, 2.08807e+08, 100, On
2017-04-26-22-52-21, Off, 26.00, 35, 0, 890, 1.008G, 0, 34, Charging, 2.08807e+08, 100, On
