Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-23-01-30, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-31, Off, 0.00, 0, 0, 0, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-32, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-33, Off, 28.00, 32, 0, 510, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-34, Off, 27.00, 32, 0, 630, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-35, Off, 27.00, 32, 0, 800, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-36, Off, 27.00, 32, 0, 740, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-37, Off, 27.00, 32, 0, 720, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-38, Off, 26.00, 33, 0, 830, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-39, Off, 26.00, 34, 0, 850, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-40, Off, 26.00, 35, 0, 890, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-41, Off, 26.00, 35, 0, 980, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-42, Off, 27.00, 35, 0, 1204, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-43, Off, 27.00, 35, 0, 1474, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-44, Off, 26.00, 35, 0, 1567, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-45, Off, 26.00, 35, 0, 1890, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-46, Off, 26.00, 37, 0, 1940, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-47, Off, 26.00, 37, 0, 2032, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-48, Off, 26.00, 37, 0, 2135, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-49, Off, 25.00, 37, 0, 2303, 1.008G, 6.2, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-50, Off, 25.00, 37, 0.001, 2568, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
2017-04-26-23-01-51, Off, 25.00, 37, 0.001, 2734, 1.008G, 0, 34, Charging, 4.54427e+30, 100, On
