Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-22-59-12, Off, 0.00, 0, 0, 0, 1.008G, 13.3, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-13, Off, 28.00, 32, 0.004, 480, 1.008G, 12.5, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-14, Off, 28.00, 32, 0, 510, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-15, Off, 27.00, 32, 0, 630, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-16, Off, 27.00, 32, 0, 800, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-17, Off, 27.00, 32, 0, 740, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-18, Off, 27.00, 32, 0, 720, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-19, Off, 26.00, 33, 0, 830, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-20, Off, 26.00, 34, 0, 850, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-21, Off, 26.00, 35, 0, 890, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-22, Off, 26.00, 35, 0, 980, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-23, Off, 27.00, 35, 0, 1204, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-24, Off, 27.00, 35, 0, 1474, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-25, Off, 26.00, 35, 0, 1567, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-26, Off, 26.00, 35, 0, 1890, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-27, Off, 26.00, 37, 0, 1940, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-28, Off, 26.00, 37, 0, 2032, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-29, Off, 26.00, 37, 0, 2135, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-30, Off, 25.00, 37, 0, 2303, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-31, Off, 25.00, 37, 0.001, 2568, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-32, Off, 25.00, 37, 0.001, 2734, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-33, Off, 25.00, 37, 0.001, 2746, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-34, Off, 25.00, 38, 0, 2849, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-35, Off, 25.00, 38, 0, 3054, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-36, Off, 25.00, 38, 0, 3062, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-37, Off, 25.00, 38, 0, 3103, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-38, Off, 24.00, 38, 0, 3248, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-39, Off, 24.00, 39, 0, 3362, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-40, Off, 25.00, 39, 0, 3443, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-41, Off, 25.00, 39, 0, 3456, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-42, Off, 25.00, 40, 0, 3561, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-43, Off, 25.00, 40, 0, 3543, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-44, Off, 25.00, 40, 0, 3633, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-45, Off, 25.00, 41, 0, 3655, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-46, Off, 26.00, 42, 0, 3734, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-47, Off, 26.00, 43, 0, 3890, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-48, Off, 26.00, 43, 0, 3976, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-49, Off, 26.00, 45, 0, 4080, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-50, Off, 26.00, 47, 0, 4090, 1.008G, 6.7, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-51, Off, 26.00, 49, 0, 4077, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-52, Off, 26.00, 52, 0, 4123, 1.008G, 0, 66, Charging, 8.31419e+35, 100, On
2017-04-26-22-59-53, Off, 27.00, 55, 0, 4135, 1.008G, 6.2, 66, Charging, 8.31419e+35, 100, On
