Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-22-52-44, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 66, Charging, 1.33521e-08, 100, On
2017-04-26-22-52-45, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 1.33521e-08, 100, On
2017-04-26-22-52-46, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 66, Charging, 1.33521e-08, 100, On
2017-04-26-22-52-47, Off, 28.00, 32, 0, 510, 1.008G, 6.2, 66, Charging, 1.33521e-08, 100, On
2017-04-26-22-52-48, Off, 27.00, 32, 0, 630, 1.008G, 0, 66, Charging, 1.33521e-08, 100, On
2017-04-26-22-52-49, Off, 27.00, 32, 0, 800, 1.008G, 0, 66, Charging, 1.33521e-08, 100, On
2017-04-26-22-52-50, Off, 27.00, 32, 0, 740, 1.008G, 0, 66, Charging, 1.33521e-08, 100, On
2017-04-26-22-52-51, Off, 27.00, 32, 0, 720, 1.008G, 0, 66, Charging, 1.33521e-08, 100, On
