Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-27-10-15-22, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-23, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-24, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-25, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-26, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-27, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-28, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-29, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.52259e-18, 100, On
2017-04-27-10-15-30, Off, 0.00, 0, 0, 0, 1.008G, 6.2, 66, Charging, 2.52259e-18, 100, On
