Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-22-28-43, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-44, Off, 0.00, 0, 0, 0, 1.008G, 18.8, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-45, Off, 28.00, 32, 0.004, 480, 1.008G, 6.7, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-46, Off, 28.00, 32, 0, 510, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-47, Off, 27.00, 32, 0, 630, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-48, Off, 27.00, 32, 0, 800, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-49, Off, 27.00, 32, 0, 740, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-50, Off, 27.00, 32, 0, 720, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-51, Off, 26.00, 33, 0, 830, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-52, Off, 26.00, 34, 0, 850, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-53, Off, 26.00, 35, 0, 890, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-54, Off, 26.00, 35, 0, 980, 1.008G, 6.7, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-55, Off, 27.00, 35, 0, 1204, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-56, Off, 27.00, 35, 0, 1474, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-57, Off, 26.00, 35, 0, 1567, 1.008G, 6.7, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-58, Off, 26.00, 35, 0, 1890, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-28-59, Off, 26.00, 37, 0, 1940, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-00, Off, 26.00, 37, 0, 2032, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-01, Off, 26.00, 37, 0, 2135, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-02, Off, 25.00, 37, 0, 2303, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-03, Off, 25.00, 37, 0.001, 2568, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-04, Off, 25.00, 37, 0.001, 2734, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-05, Off, 25.00, 37, 0.001, 2746, 1.008G, 6.2, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-06, Off, 25.00, 38, 0, 2849, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-07, Off, 25.00, 38, 0, 3054, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
2017-04-26-22-29-08, Off, 25.00, 38, 0, 3062, 1.008G, 0, 66, Charging, 2.88993e+29, 100, On
