Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-27-10-12-01, Off, 0.00, 0, 0, 0, 1.008G, 5.6, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-02, Off, 0.00, 0, 0, 0, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-18, Off, 28.00, 32, 0, 0, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-19, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-20, Off, 27.00, 32, 0, 510, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-21, Off, 27.00, 32, 0, 630, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-22, Off, 27.00, 32, 0, 800, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-23, Off, 27.00, 32, 0, 740, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
2017-04-27-10-12-24, Off, 26.00, 33, 0, 720, 1.008G, 0, 66, Charging, 2.72077e+23, 100, On
